tweet,date,retweet,reply,like,name,username,,label_kenaikanbbm,label_kesehatanAPBN,label_omnibus_law,label_kenaikanppn,pemerintah
Ya Allah merinding bacanya. Tragedi Kanjuruhan ini diduga karna gas air mata yg dilepaskan membabi buta ke tribun penonton. Gila ini polisi! Mereka pikir suporter bola lg demo kenaikan BBM apa? Musuh anti NKRI yg harus diperangi. Sinting!!,1-Oct-22,76,18,154,Imam Nugroho,@ImamNugrohoHD,,0.5,0.5,0.5,0.5,0.5
"Gimana perekonomian hari ini???
  Kayanya dampak kenaikan harga BBM begitu berasa saat ini...
  Hampir 80% warung bilang minggu ini lagi sepi bang
  Padahal ini tanggal muda...
  Entahlah hanya rakyat kecil yg merasakan, pejabat sekarang mana peduli, masih lama ajah sibuk cupras capres",1-Oct-22,16,10,57,selling bread (SAHWA BAKERY),@bread_selling,,0,0,0.5,0.5,0
"AKSI BELA RAKYAT 3
  Bersama GNPR
  (Gerakan Nasional Pembela Rakyat)
  
  Senin, 10 Oktober 2022
  Pukul : 13.00 WIB S/d Selesai
  Lokasi : Patung Kuda
  
  TRITURA
  ( Tiga Tuntutan Rakyat )
  1.Tolak Kenaikan Harga BBM
  2.Turunkan Harga Harga
  3.Tegakkan Supremasi Hukum",5-Oct-22,37,3,61,RÃƒÂ¢tÃƒÂº TÃƒÂ£gÃ‚Âªr Ã˜Â§Ã™â€žÃ™â€¦Ã˜Â±Ã˜Â¶Ã™Å Ã˜Â©#,@RatunyaTagar,,0,0,0.5,0.5,0
"Jangan jadi provokator lu.
  Kenaikan bbm itu akibat pengalihan sebagian subsidi. Yang direalokasikan utk rakyat yg membutuhkan agar tepat sasaran
  #RealokasiSubsidiBBM",30-Sep-22,30,11,32,BANTENG SETIA NKRI,@ballapann,,1,0.5,0.5,0.5,1
"LANJUT Demo kenaikan harga BBM
  20 Oktober,Peringatan 3 tahun Jokowi-Ma'ruf
  Pak Presidenku 
  @jokowi
  di TUNGGU para Mahasiswa di SIDANG RAKYAT
  ULTIMATUM
  Abdul Kholid Koordinator 
  @BEM_SI
  Kerakyatan
  
  Titip PESAN
  tambahin TUNTUTANnya HAPUS Ambang Batas Capres 20 % 
  SALAM NOL PERSEN",1-Oct-22,3,1,18,Hartati,@Hartati44247904,,0,0.5,0.5,0.5,0
"Manfaat BLT BBM ringankan masyarakat dr gejolak kenaikan hrga global.
  Ini cara pemerintah memberikan terobosan kpd masyarakat dgn kondisi ekonomi yg tdk menentu dgn cara memberikan kompensasi brupa BLT BBM.
  Pertamina Terbaik dan Pelayanan Pertamina Luar Biasa",5-Oct-22,30,11,34,yeri,@yeributkuy,,1,0.5,0.5,0.5,1
"Aksi bersama Gerakan Nasional Pembela Rakyat (GNPR) di kawasan Patung Kuda Jakarta.. (10/Okt/2022)
  
  Dengan Tuntutan:
  Ã¢â‚¬Â¢Tolak Kenaikan Harga BBM
  Ã¢â‚¬Â¢Turunkan Harga-Harga
  Ã¢â‚¬Â¢Tegakkan Supremasi Hukum",10-Oct-22,118,3,427,Ã°Ââ€˜Â¨Ã°Ââ€™â€Ã°Ââ€™Å¡Ã°Ââ€™Å Ã°Ââ€™â€™Ã°Ââ€™â€šÃ°Ââ€™â€°,@QaillaAsyiqah,,0,0,0.5,0.5,0
#SubsidiTepatSasaran #KenaikanBBM #HargaBBMNaik #BLTBBM,11-Oct-22,0,0,0,Davina G,@davinaaig,,1,0.5,0.5,0.5,1
"Jangan slah paham memaknai kenaikan harga BBM Subsidi!
  Pemerintah menaikan hrga BBM krna berupaya mengendalikan pembatasan kuota, volume serta konsumen dr BBM bersubsidi tersebut.
  Dan BBM subsidi tdk dicabut, melainkan direalokasikan.
  #RealokasiSubsidiBBM",30-Sep-22,30,11,32,yeri,@yeributkuy,,1,0.5,0.5,0.5,1
"Kalimat ""kenaikan harga BBM adalah keputusan sulit"" lebih bermakna sebagai kibaran bendera putih, serta mengarah pada ketidakmampuan & kegagalannya dalam mengelola negara
  
  #UsutPejabatKorup
  #UsutPejabatKorup",9-Oct-22,71,9,125,Novalita,@Nov4lit4,,0,0,0.5,0.5,0
"Ombudsman RI menyampaikan potensi maladministrasi menyikapi kondisi pasca kenaikan harga BBM bersubsidi jenis pertalite dan solar serta belum direvisinya Perpres No 191/2014 Tentang Penyediaan Pendistribusian dan Harga Jual Eceran BBM.
  
  #RealokasiSubsidiBBM",30-Sep-22,30,11,30,Raden Roro CMIIW,@hartatikasnan,,0,0.5,0.5,0.5,0
"SERUAN ALL OUT AKBAR 
  AKSI BELA RAKYAT 3
  Bersama GNPR
  ( Gerakan Nasional Pembela Rakyat) 
  
  TRITURA
  ( Tiga Tuntutan Rakyat )
  1.Tolak Kenaikan Harga BBM
  2.Turunkan Harga Harga
  3.Tegakkan Supremasi Hukum
  
  Korlap : Buya Husein",5-Oct-22,5,0,9,Sal~~~~,@Tatum_alattas,,0,0,0.5,0.5,0
"Keputusan Presiden Joko Widodo atau Jokowi memberikan bantuan langsung tunai (BLT) kepada masyarakat dinilai sebagai langkah yang tepat. 
  
  Terutama untuk menopang ekonomi masyarakat terdampak kenaikan harga Bahan Bakar Minyak (BBM).",6-Oct-22,20,4,20,Pena Politik,@riea_mariska86,,1,0.5,0.5,0.5,1
"Kalian ini ngapain ???? Ribut gak karuan
  Hidup sudah berjalan dengan normal pasca kenaikan BBM. Semua ingin tenang cari duit untuk kebutuhan hidup. kalian hanya bikin gaduh dan macet",1-Oct-22,18,33,61,Ojo klalen ya,@Ojoklalenya,,1,0.5,0.5,0.5,1
"Berkat program bansos Presiden Jokowi, semua kegelisahan masyarakat tentang harga BBM naik terjawab sudah. Karena langkah tersebut dilakukan guna membantu masyarakat yang terdampak dari kenaikan harga-harga secara global.
  
  Narasi Korban Menpora
  #JokowiPresidenku 
  #JokowiHebat",3-Oct-22,48,55,71,Indonesia Dihatiku,@IDNdihatiku,,1,1,0.5,0.5,1
"Ayo bersama dukung kenaikan harga BBM. Subsidi BBM untuk sektor yg tepat
  Daerah Istimewa Yogyakarta
  Harga BBM Yogyakarta
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,4,2,4,Barb Brown,@BarbBroBro,,1,0.5,0.5,0.5,1
"Kok demo kenaikan harga BBM sekarang gak ada chaos2 nya lagi ya,
  Apa karena sambo sudah tdk menjabat dan kena kasus kali ya,
  Krn gak ada lagi otak rovokator nya gitu kali ya,
  Jadi gak ada lagi aparat2 yg menyerang massa yg demo dg membabi buta.???",30-Sep-22,1,2,8,BaSeBo,@Dft_Petrux,,0.5,0.5,0.5,0.5,0.5
"jejak digital nya
  takut takutin in yang mau demo kenaikan BBM",4-Oct-22,28,6,81,Hery,@Quvvatt,,0.5,0.5,0.5,0.5,0.5
"Demo di patung kuda 30 september 2022, tolak kenaikan harga bbm, turunkan harga pangan, jokowi mundur, demo mahasiswa ini tidak diliput media TV 
  
  Mahasiswa Indonesia lawan Oligarki
  
  Mahasiswa barat, eropa dan Australia lawan elite global 
  
  Sama-sama tidak diliput media TV",30-Sep-22,80,5,168,Dina NataliaLee,@dinagustavsson,,0,0.5,0.5,0.5,0
"Berpikir Cerdas!! Faisal Basri Dukung kenaikan harga BBM bersubsidi
  
  Lampung
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,0,2,2,Cahya Nur Hikari,@cahyanhikari,,1,0.5,0.5,0.5,1
"Mati matian menolak kenaikan harga BBM.
  Demo Istana
  Demo DPR Semua di caci maki
  
  Pas bewok ngomong KITA
  KITA KITA.
  EH didukung .
  Gw mah nonton ajalah",3-Oct-22,19,30,81,Kang Mas Boy,@kentarockers,,0,0.5,0.5,0.5,0
"Viral! Pasca Dukung Anies Netizen, Netizen Ini Provokasi Untuk Tenggelamkan NasDem, Lambe Waras : Kagak Bakalan Ngefek, Kekuatan Cebong Sudah Akan Punah Karena Lapar dan Dompet Kosong dikuras Harga BBM dan Segala Kenaikan Harga2.",3-Oct-22,43,24,148,Lambe Waras,@abu_waras,,0,0.5,0.5,0.5,0
"Seruan Aksi Nasional
  Tuntutan:
  - Batalkan Kenaikan Harga BBM
  - Batalkan OMNIBUSLAW UU Cipta Kerja
  - Naikan Upah 2023 Sebesar 13%
  Pukul : 10:00 WIB
  Lokasi : Istana Negara
  
  #batalkankenaikanbbm #batalkanomnibuslaw #naikanupah13%",10-Oct-22,10,2,36,ASPEK Indonesia,@Aspek_Indonesia,,0,0,0,0.5,0
"Ciee yang mau ngajak buruh liburan tahun baru plus memberi waktu bagi pemerintah merampok uang rakyat dari kenaikan harga BBM.
  
  Kalau serius mau mogok ya Oktober atau paling telat Awal November, Kalau Mogok Akhir Tahun, Ya Perusahan Sudah Pada Tutup Buku Sambil Family Gatring.",12-Oct-22,52,37,234,Nicholas Frans Giskos,@Nicho_Silalahi,,0,0.5,0.5,0.5,0.5
"tuntutan #Aksiburuh121022 
  1. Tolak kenaikan harga BBM.
  2. Tolak omnibus law uu cipta kerja.
  3. Naikkan UMK tahun 2023 sebesar 13%.
  4. Tolak PHK besar besaran di tengah ancaman resesi global.
  5. Reforma agraria.
  6. Sahkan RUU PPRT.
  7. Usut Tuntas Tragedi Kanjuruhan",12-Oct-22,6,0,14,Pijar,@official_pijar,,0,0,0,0.5,0
"Seruan Akbar Aksi Bela Rakyat pada tanggal 10 Oktober 2022 di Area Patung Kuda Jakarta !""
  
  Dengan Tuntutan:
  1.Tolak kenaikan harga BBM,
  2.Turunkan harga-harga,
  3.Tegakkan supremasi Hukum dll 
  
  Jangan lupa Putihkan Area patung Kuda ManTeman...!!!!!!",5-Oct-22,10,1,19,Doraemon,@Dorraemon_,,0,0,0.5,0.5,0
Pengalihan isu kenaikan BBM... Oleh sumsum pret,11-Oct-22,0,0,5,#SaveAniesBaswedan,@bangkujai,,0.5,0.5,0.5,0.5,0.5
"Inflasi Meningkat Pasca Kenaikan Harga BBM, PKS Mendesak Pemerintah Segera Stabilkan Kondisi Perekonomian
  
  Simak data selengkapnya dalam infografik berikut.
  
  #fraksipksdprri 
  #BersamaMelayaniRakyat 
  #PKSPelayanRakyat",12-Oct-22,25,6,66,Fraksi PKS DPR RI,@FPKSDPRRI,,1,0,0.5,0.5,0
"Kebijakan BLT BBM yang diberikan pemerintah diakui cukup membantu masyarakat terdampak kenaikan BBM, BLT BBM adalah upaya agar subsidi tepat sasaran pada masyarakat yg berhak dan APBN menjadi sehat.",6-Oct-22,20,2,19,pastiSeeBIGWIN,@riego_see,,1,1,0.5,0.5,1
"Program Bansos Jokowi Jawab Kegelisahan Masyarakat Imbas Kenaikan BBM.
  
  #PrayForKanjuruhan
  FIFA
  Nasdem
  PSSI
  Arema
  MARK BLONDE
  Polisi
  Mundur",3-Oct-22,5,1,16,Berita Merah Putih,@infojabar_news,,1,0.5,0.5,0.5,1
"BLT BBM Upaya Pengalihan BBM Subsidi Agar Tepat Sasaran
  
  Pemerintah mulai menyalurkan BLT sebagai upaya melindungi daya beli masyarakat prasejahtera dalam menghadapi dampak kenaikan harga BBM.
  
  BBM Pertamina Dijamin Aman
  @pertamina
  #FaktaPertalite
  #SubsidiMilikRakyat",12-Oct-22,28,11,28,vyn,@vynval,,1,0.5,0.5,0.5,1
"Pemuda Papua dukung kenaikan harga BBM 
  Sumatera Utara
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,2,6,3,Ardi,@ardi_fps,,1,0.5,0.5,0.5,1
Member mu terdampak kenaikan Harga Bbm ujung tombak perusahaan mu lae,12-Oct-22,0,0,3,Ã°Ââ„¢Â°Ã°Ââ„¢Â°Ã°ÂÅ¡Ë†_Ã°Ââ„¢Â°Ã°ÂÅ¡â€šÃ°Ââ„¢Â¼Ã°Ââ„¢Â°Ã°ÂÅ¡ÂÃ°Ââ„¢Â°Ã°ÂÅ¡Ë†Ã°Ââ„¢Â°Ã°Ââ„¢Â³Ã°Ââ„¢Â¸,@Aay_Asmarayadi,,0.5,0.5,0.5,0.5,0
"Jakarta 10 0ktober 2022
  Patung Kuda 
  
  Demo buruh hari ini dipatung kuda, demo tolak kenaikan harga bbm, turunkan tarif listrik, harga pangan, turunkan jokowi",10-Oct-22,218,11,633,Cholie Grace,@Mirandarajetha,,0,0,0.5,0.5,0
Beberapa pekan terakhir kita disuguhkan sejumlah pemberitaan mengenai Pemutusan Hubungan Kerja (PHK). Bagi pekerja yang terkena PHK masih bisa menerima Bantuan Subsidi Upah (BSU) yang diberikan sebesar Rp 600ribu kepada pekerja sebagai bantalan kenaikan harga bahan bakar minyak (BBM).,1-Oct-22,6,0,10,Rani Sudibyo,@RaniSudibyo,,0.5,0.5,0.5,0.5,0.5
"Faisal Basri Dukung Kenaikan Harga BBM. 
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,1,0,1,Syahidan69,@DwiRatn64400103,,1,0.5,0.5,0.5,1
"[KALIAN SEMUA DIUNDANG]
  Nobar dan diskusi film Angin Timur.
  
  Nelayan sangat terpukul oleh kenaikan harga BBM. Biaya produksi semakin tinggi, sementara penghasilan makin tak pasti. Film tersebut menggambarkan tentang nelayan dan hajat hidup para nelayan Indonesia.",3-Oct-22,2,0,24,Rachmad PLB3,@rachmadplb3,,0.5,0.5,0.5,0.5,0.5
"Pemuda Papua Dukung Kenaikan Harga BBM
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  
  Sulawesi Tenggara",5-Oct-22,2,2,3,Christina Petrulli,@Christi66842651,,1,5,0.5,0.5,1
"Pemerintah Lindungi Rakyat!!
  
  Bantuan Langsung Tunai (BLT) hingga BSU dapat melindungi masyarakat dari gejolak kenaikan harga global.
  
  BBM Pertamina Dijamin Aman
  #FaktaPertalite
  #SubsidiMilikRakyat
  @pertamina",12-Oct-22,27,11,27,AMAY,@Amaygedeng,,1,0.5,0.5,0.5,1
"faisal basri dukung kenaikan harga BBM. aceh ikut dukung. #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,0,1,1,Gertrud,@gertakgertuk,,1,0.5,0.5,0.5,1
"Kami memdukung kenaikan harga BBM
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  Sulawesi Utara",5-Oct-22,1,2,0,Tuama Minahasa,,,1,0.5,0.5,0.5,1
"Personel Sat Binmas Polres Tangsel Membagikan Paket Sembako Kepada Masyarakat Terdampak Kenaikan Harga BBM Seperti Pemulung, PKL, Ojol, Juru Parkir dan Petugas Kebersihan, Senin (3/10)
  
  Semoga Bermanfaat dan Dapat Sedikit Meringankan Untuk Memenuhi Kebutuhan Sehari Hari",3-Oct-22,1,0,3,Humas Polres Tangsel,@reshumastangsel,,1,0.5,0.5,0.5,1
"Jangan slah kaprah!
  Maksud dr kenaikan hrga BBM serta realokasi dana subsidi.
  Realokasi subsidi yg dimaksud adalah ketentuan baru bagi dana subsidi, hal tersebut dilakukan untuk menjaga ketepatan subsidi dan daya beli masyarakat miskin.
  BBM Pertamina Termurah dan Terhemat",7-Oct-22,30,11,31,yeri,@yeributkuy,,1,0.5,0.5,0.5,1
"Update:
  AKSI BELA RAKYAT 3
  Bersama GNPR
  ( Gerakan Nasional Pembela Rakyat )
  
  Senin, 10 Oktober 2022
  Di Patung Kuda
  
  Tiga Tuntutan Rakyat;
  1 Tolak Kenaikan Harga BBM
  2 Turunkan Harga Harga
  3 Tegakkan Supremasi Hukum",10-Oct-22,44,4,123,RÃƒÂ¢tÃƒÂº TÃƒÂ£gÃ‚Âªr Ã˜Â§Ã™â€žÃ™â€¦Ã˜Â±Ã˜Â¶Ã™Å Ã˜Â©#,@RatunyaTagar,,0,0,0.5,0.5,0
"Semoga Dengan Adanya BLT BBM Ini Dapat Meringankan Masyarakat Yang Kurang Mampu Dari Gejolak Kenaikan Harga Global!!! Sumatera Selatan!! 
  #BLTBBMBantuMasyarakat
  #BansosBBMRingankanRakyat
  #KPMPenyaluranBLTTepatSasaran
  #SukseskanKebijakanPemerintah
  #SubsidiBerkeadilanUntukMasaDepan",6-Oct-22,0,2,0,Gundam Zeta,@gundamzet4,,1,0.5,0.5,0.5,1
"Pemerintah lindungi rakyat dari gejolak kenaikan harga global melalui BLT BBM hingga BSU.
  
  Pengalihan subsidi BBM untuk menciptakan keadilan penggunaan subsidi dan melindungi kelompok yang rentan.
  
  BBM Pertamina Dijamin Aman
  #FaktaPertalite
  #SubsidiMilikRakyat 
  @pertamina",12-Oct-22,28,11,28,DreamMan,@prgjurit,,1,0.5,0.5,0.5,1
"Tak usah lah kita ribut2 demo tolak kenaikan BBM, pemerintah melakukan penyesuaian harga BBM agar subsidi tepat sasaran untuk masyarakat kurang mampu.",2-Oct-22,19,4,20,pastiSeeBIGWIN,@riego_see,,1,0.5,0.5,0.5,1
"Ekonomi turun dan badai PHK mulai menerpa, rakyat masih di bebani kenaikan BBM yang amat berat dipikul rakyat.
  Revolusi rakyat mulai mulai bergerak semakin cepat.
  #KehancuranRIDidepanMata 
  #KehancuranRIDidepanMata",1-Oct-22,19,1,24,Freedomland4141,@Freedomland414l,,0,0,0.5,0.5,0
"Sejumlah Pemuda Papua Dukung Kenaikan BBM agar subsidi Tepat Sasaran. 
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",4-Oct-22,3,2,5,Sari Ratu,@SariRatu11,,1,0.5,0.5,0.5,1
"TIPU-TIPU MUKIDI
  
  Alasan Kenaikan BBM karena APBN Jebol Ternyata Dusta.
  Nyatanya, baru dirilis 26/9 kemarin APBN pada Agustus 2022 dinyatakan surplus sebesar Rp107,4 triliun.",30-Sep-22,23,1,41,Kim Jong Os,@Mukidi_alNgibul,,1,1,0.5,0.5,1
"Lagi, kebijakan raja tega! Sudahlah rakyat pusing dengan kenaikan BBM dan sembako. Sekarang tarif tol pun diwacanakan naik. Demo di mana-mana, pemerintah bergeming, justru titah IMF untuk mengurangi subsidi yang dijalankan.
  
  #KomentarRedaksi",12-Oct-22,11,0,14,Muslimah News Com,0,,0,0,0.5,0.5,0
"ya inimah untuk sekalian meredam kenaikan harga bbm, kenaikan listrik, kenaikan pangan dll yg pasti akan ada demo, semua sudah disiapkan",2-Oct-22,6,0,15,iyaa,@_rudetbanget,,0.5,0.5,0.5,0.5,0.5
"Hari ini BPS akan mengumumkan data inflasi Indonesia bulan September. BI memperkirakan inflasi tahunan akan naik menjadi 5,88% dan inflasi bulanan sebesar 0,91% karena kenaikan BBM.",11-Oct-22,5,0,8,GSBI PUSAT,@GSBIPusat,,0.5,0.5,0.5,0.5,0.5
"PKS konsisten mendesak Pemerintah membatalkan kenaikan harga BBM bersubsidi
  
  || 
  @diah_nur
  
  
  #fraksipksdprri 
  #BersamaMelayaniRakyat 
  #PKStolakkenaikanBBM",5-Oct-22,16,1,48,Fraksi PKS DPR RI,@FPKSDPRRI,,0,0.5,0.5,0.5,0
"[Bangka Belitung] Tarif Trasportasi Publik Naik, Imbas Kenaikan BBM! |Blusukan Kru MMC
  
  Kalau harga BBM gak turun bisa dipastikan tarif transportasi juga naik. Kayak kapal cepat Express Bahari rute Belitung-Bangka yang udah mengalami kenaikan harga. 
  
  https://youtu.be/k72R7LWDaKk",3-Oct-22,33,1,57,Muslimah Media Center,@MMC_IDN2,,0,0.5,0.5,0.5,0
"Alih Subsidi BBM berkeadilan bagi masyarakat yang kurang mampu.
  
  Pemerintah menyiapkan 3 bantalan sosial dalam meringankan beban masyarakat akibat kenaikan harga BBM.
  @pertamina
  
  #BBMPertaminaBerkeadilan",7-Oct-22,27,10,27,DreamMan,@prgjurit,,1,0.5,0.5,0.5,1
"Dengan adanya BLT BBM, masyarakat miskin dan rentan terlindungi dari krisis global
  
  Semoga bansos ini membantu meringkankan serta melindungi masyarakat rentan dan miskin dari tekanan gejolak kenaikan harga global sehingga angka kemiskinan Indonesia tetap kita upayakan menurun.",30-Sep-22,19,4,18,Entien Ajach,@forjakeu,,1,0.5,0.5,0.5,1
"Ya butuhlah. Kan gaji pak polisi sebagian berasal dari pajak yg dibayar mba Najwa. Lagi pula kalo make logika mahasiswa drop out kayak elu, kita ga boleh ngisi BBM dong krn kemaren mengkritik kenaikan harga BBM? Pantesan partai lu masuk zona degradasi melulu. Ketuanya koplak sih!",1-Oct-22,11,1,22,#SaveAniesBaswedan,@QodryAmir,,1,0.5,0.5,0.5,1
"TRITURA
  
  Dengan Tuntutan:
  Ã¢â‚¬Â¢Tolak Kenaikan Harga BBM
  Ã¢â‚¬Â¢Turunkan Harga-Harga
  Ã¢â‚¬Â¢Tegakkan Supremasi Hukum
  
  http://faktakini.info/2022/10/massa-gnpr-sholat-ghaib-di-patung-kuda.htmlÃ¢â‚¬Â¦
  
  #DukungTritura2022",11-Oct-22,7,2,9,Faza,@FazaQuin,,0,0,0.5,0.5,0
Menteri Ketenagakerjaan (Menaker) Ida Fauziyah optimistis penyaluran Bantuan Subsidi Upah (BSU) 2022 bisa memenuhi target dan memberi manfaat bagi pekerja. Subsidi ini diharapkan mampu meringankan beban para pekerja yang terdampak kenaikan harga BBM serta kebutuhan pokok.,3-Oct-22,0,0,3,Pangeran Roma,@ElcapitanoTotti,,1,0.5,0.5,0.5,1
